"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","1","","","35","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","1-А","","","36","1"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","1-Б","","","12","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","1-Д","","","6","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","2","","","22","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","2-А","","","2","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","3","","","27","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","3-А","","","23","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","3-Б","","","35","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","4","","","38","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","5","","","40","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","5","","20","1","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","6","","","59","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","6","","11","1","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","7","","","29","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","8","","","60","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","8-А","","","82","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","8-Б","","","4","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","8-В","","","5","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","8-Г","","","1","0"
"439","БЕОГРАД-САВСКИ ВЕНАЦ","БЕОГРАД","АДМИРАЛА ГЕПРАТА","8-Д","","","4","0"
