ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
700029,ALEKSANDROVAC,ALEKSANDROVAC,2087,1997
700037,ALEKSANDROVAC,BZENICE,410,322
700045,ALEKSANDROVAC,BOBOTE,170,165
700053,ALEKSANDROVAC,BOTURIĆI,191,149
700061,ALEKSANDROVAC,BRATIĆI,75,68
700070,ALEKSANDROVAC,VELIKA VRBNICA GORNJA,267,220
700088,ALEKSANDROVAC,VELJA GLAVA,120,101
700096,ALEKSANDROVAC,VITKOVO,418,367
700100,ALEKSANDROVAC,VRAŽOGRNCI,157,133
700118,ALEKSANDROVAC,VRANŠTICA,104,79
700126,ALEKSANDROVAC,GAREVINA,201,165
700134,ALEKSANDROVAC,GORNJA ZLEGINJA,218,185
700142,ALEKSANDROVAC,GORNJI VRATARI,144,117
700169,ALEKSANDROVAC,GORNJI STUPANJ,370,318
700177,ALEKSANDROVAC,GRČAK,117,95
700185,ALEKSANDROVAC,DAŠNICA,300,257
700193,ALEKSANDROVAC,DOBROLJUPCI,361,322
700207,ALEKSANDROVAC,DONJA ZLEGINJA,192,176
700215,ALEKSANDROVAC,DONJI VRATARI,149,136
700223,ALEKSANDROVAC,DRENČA,255,213
700231,ALEKSANDROVAC,JELAKCI,424,285
700240,ALEKSANDROVAC,KOŽETIN,355,321
700258,ALEKSANDROVAC,KOZNICA,139,98
700266,ALEKSANDROVAC,LATKOVAC,284,233
700274,ALEKSANDROVAC,LESENOVCI,104,94
700282,ALEKSANDROVAC,LESKOVICA,190,149
700304,ALEKSANDROVAC,LJUBINCI,144,121
700312,ALEKSANDROVAC,NOVACI,164,132
700339,ALEKSANDROVAC,PARČIN,146,132
700347,ALEKSANDROVAC,PLEŠ,326,262
700355,ALEKSANDROVAC,PLOČA,307,248
700363,ALEKSANDROVAC,PUHOVAC,291,232
700371,ALEKSANDROVAC,RAKLJA,491,399
700380,ALEKSANDROVAC,RATAJE,718,630
700398,ALEKSANDROVAC,RŽANICA,249,199
700401,ALEKSANDROVAC,ROGAVČINA,493,403
700410,ALEKSANDROVAC,ROKCI,265,210
700428,ALEKSANDROVAC,RUDENICE,104,84
700436,ALEKSANDROVAC,STANJEVO,552,528
700444,ALEKSANDROVAC,STARCI-POPOVCI,82,60
700452,ALEKSANDROVAC,STRMENICA,206,156
700479,ALEKSANDROVAC,STUBAL,599,508
700487,ALEKSANDROVAC,SUBOTICA,353,290
700495,ALEKSANDROVAC,TRŽAC,121,91
700509,ALEKSANDROVAC,TRNAVCI,329,289
700517,ALEKSANDROVAC,TULEŠ,216,195
700525,ALEKSANDROVAC,ŠLJIVOVO,202,182
700533,ALEKSINAC,ALEKSINAC VAN VAROŠ,1946,1607
700541,ALEKSINAC,ALEKSINAC VAROŠ,3115,2897
700550,ALEKSINAC,ALEKSINAČKI BUJMIR,218,168
700568,ALEKSINAC,BELI BREG,188,149
700576,ALEKSINAC,BOBOVIŠTE,464,446
700584,ALEKSINAC,BOVAN,764,698
700592,ALEKSINAC,BRADARAC,184,183
700606,ALEKSINAC,VAKUP,355,272
700614,CRVENI KRST,VELE POLJE,432,370
700622,ALEKSINAC,VRELO,318,252
700649,ALEKSINAC,VUKAŠINOVAC,225,217
700657,ALEKSINAC,GLOGOVICA,373,287
700665,ALEKSINAC,GORNJI KRUPAC,347,289
700673,ALEKSINAC,DELIGRAD,133,128
700681,ALEKSINAC,DOBRUJEVAC,258,205
700690,ALEKSINAC,DONJI KRUPAC,214,184
700703,ALEKSINAC,DRAŽEVAC,386,319
700711,ALEKSINAC,JASENJE,108,105
700720,ALEKSINAC,KATUN,328,285
700738,ALEKSINAC,KRALJEVO,366,357
700746,ALEKSINAC,LIPOVAC,362,295
700754,ALEKSINAC,MOZGOVO,919,879
700762,CRVENI KRST,PALIGRACE,222,217
700789,ALEKSINAC,PRUGOVAC,229,182
700797,ALEKSINAC,RUTEVAC,522,500
700819,ALEKSINAC,STANCI,187,159
700827,ALEKSINAC,SUBOTINAC,518,509
700835,ALEKSINAC,ĆIĆINA,124,112
700843,ALEKSINAC,CRNA BARA,119,94
700851,ALEKSINAC,BANKOVAC,91,71
700860,ALEKSINAC,BELJA,27,23
700878,ALEKSINAC,VELIKI DRENOVAC,458,320
700886,ALEKSINAC,VITKOVAC,235,233
700894,ALEKSINAC,VRĆENOVICA,274,246
700908,ALEKSINAC,VUKANJA,388,284
700916,ALEKSINAC,GOLEŠNICA,53,45
700924,ALEKSINAC,GORNJA PEŠČANICA,126,120
700932,ALEKSINAC,GORNJE SUHOTNO,167,145
700959,ALEKSINAC,GORNJI ADROVAC,120,116
700967,ALEKSINAC,GORNJI LJUBEŠ,114,110
700975,ALEKSINAC,GREDETIN,298,285
700983,ALEKSINAC,GREJAČ,418,302
700991,ALEKSINAC,DAŠNICA,136,113
701009,ALEKSINAC,DONJA PEŠČANICA,58,53
