geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2013156,Вртић „Дуга”,предшколска установа,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ЉУТИЦЕ БОГДАНА,2,6.1,504,1,505,44.7869,20.462379
SRBRGI2002984,Месна заједница Жарково,месна заједница,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),МИХАЈЛА ВАЛТРОВИЋА,36А,4.7,337,0,337,44.760281,20.408083
SRBRGI2014832,"Градски центар за социјални рад – Београд, одељење Чукарица",објекат социјалне заштите,stambeno-moguce,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),МИХАЈЛА ВАЛТРОВИЋА,36А,3.4,337,0,337,44.760344,20.408032
SRBRGI2003504,Институт за примену науке у пољопривреди,јавни објекат,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),БУЛЕВАР ДЕСПОТА СТЕФАНА,68Б,3.0,303,0,303,44.816461,20.476198
SRBRGI2006903,Предшколска установа „Луна”,предшколска установа,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),КЛАРЕ ЦЕТКИН,7,0.0,259,0,259,44.830044,20.416772
SRBRGI2006902,Предшколска установа „Мали принц”,предшколска установа,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),БУЛЕВАР МАРШАЛА ТОЛБУХИНА,2,0.0,254,0,254,44.831585,20.418467
SRBRGI2014829,"Градски центар за социјални рад – Београд, одељење Палилула",објекат социјалне заштите,stambeno-moguce,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЦВИЈИЋЕВА,110,8.6,230,0,230,44.809485,20.480506
SRBRGI2013427,Вртић „Камичак и другари”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,218,2.7,209,0,209,44.800087,20.370359
SRBRGI2013442,Вртић „Бејбиленд”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,120,1.9,206,0,206,44.802768,20.37689
SRBRGI2013582,Вртић „Бродић Мали весељак”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,74,7.4,195,0,195,44.807389,20.381562
SRBRGI2017436,Позориште „Бакине бајке”,позориште,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,169,4.3,169,0,169,44.799447,20.38178
SRBRGI2002857,Месна заједница Дедиње,месна заједница,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),СТЈЕПАНА ФИЛИПОВИЋА,29,7.3,168,0,168,44.79215,20.453046
SRBRGI2018238,Приватна ветеринарска амбуланта „Весна“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ШЕСНАЕСТОГ ОКТОБРА,15,6.5,166,1,167,44.788855,20.530182
SRBRGI2013482,Вртић „Пачићи”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,51,5.4,166,0,166,44.802029,20.397926
SRBRGI2003027,Месна заједница Јован Цвијић,месна заједница,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЦВИЈИЋЕВА,63,3.6,159,0,159,44.813535,20.478387
SRBRGI2013443,Вртић „Бејбиленд”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,86,4.0,155,0,155,44.803573,20.37916
SRBRGI2013468,Вртић „Тин-Тин Бојана”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,277,5.7,146,0,146,44.796215,20.373101
SRBRGI2017477,Приватна ветеринарска амбуланта „Терзин Пет & Вет“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,141,0.3,143,0,143,44.777314,20.475079
SRBRGI2014629,Дом за стара лица „Вожд 011”,дом за старе,stambeno-moguce,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,118,3.4,140,0,140,44.777918,20.473411
SRBRGI2013426,Вртић „Камичак и другари”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ДУШАНА ВУКАСОВИЋА,73,10.9,136,0,136,44.804541,20.375127
SRBRGI2018208,Приватна ветеринарска амбуланта „Pet Friend“,објекат ветерине,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),БОРСКА,9Ц,6.2,136,0,136,44.748934,20.448654
SRBRGI2013532,Вртић „Маша и Меда”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ДР ИВАНА РИБАРА,83,4.4,133,2,135,44.802106,20.368684
SRBRGI2013330,Вртић „Мали маслачак”,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ПЕТРАРКИНА,12,7.7,133,1,134,44.790777,20.531476
SRBRGI2003000,Месна заједница Младост,месна заједница,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,93,6.4,131,0,131,44.806949,20.388975
SRBRGI2017469,Приватна ветеринарска амбуланта за кућне љубимце „Петричевић“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,114,0.7,129,0,129,44.778553,20.473401
SRBRGI2006862,Предшколска установа „Снупи” – издвојено одељење,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),БУЛЕВАР ЗОРАНА ЂИНЂИЋА,90,0.0,119,0,119,44.818961,20.417166
SRBRGI2013452,Вртић „Пиле”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,217,7.3,119,0,119,44.798354,20.377351
SRBRGI2014827,"Градски центар за социјални рад – Београд, одељење Земун",објекат социјалне заштите,stambeno-moguce,ЗЕМУН,БЕОГРАД (ЗЕМУН),АЛЕКСАНДРА ДУБЧЕКА,2,5.6,116,0,116,44.838433,20.411328
SRBRGI2018220,Приватна ветеринарска амбуланта за кућне љубимце „Николашев“,објекат ветерине,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ВИШЕГРАДСКА,6,0.4,110,0,110,44.802375,20.452566
SRBRGI2003355,Јавно предузеће за изградњу Обреновац,јавни објекат,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,ВУКА КАРАЏИЋА,99,3.0,108,0,108,44.656941,20.202867
SRBRGI2013326,Вртић „Звончић”,предшколска установа,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),СИМЕ ИГУМАНОВА,16,7.8,108,0,108,44.792391,20.474911
SRBRGI2013441,Предшколска установа „Бејбиленд”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,108,5.0,107,0,107,44.802947,20.377706
SRBRGI2012146,Јавно комунално предузеће „Градска топлана”,јавни објекат,nestambeno,ВЕЛИКА ПЛАНА,ВЕЛИКА ПЛАНА,БУЛЕВАР ДЕСПОТА СТЕФАНА,42,14.4,102,2,104,44.329962,21.072065
SRBRGI2021193,Баптистичка црква,црква,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БОРИВОЈА СТЕВАНОВИЋА,2Б,3.1,102,1,103,44.774481,20.504644
SRBRGI2013109,Вртић „Мече,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ДУШАНА ЈОВАНОВИЋА,4,3.5,100,0,100,44.753342,20.49837
SRBRGI2013406,Вртић „Пуж,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БУЛЕВАР ОСЛОБОЂЕЊА,166,6.6,98,0,98,44.756065,20.478685
SRBRGI2013262,Вртић „Зрнце”,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БРАЋЕ ЈЕРКОВИЋА,163,5.4,92,0,92,44.763466,20.497122
SRBRGI2002647,Фондација за решавање стамбених потреба младих научних радника Универзитета у Београду,јавни објекат,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),БУЛЕВАР ЗОРАНА ЂИНЂИЋА,123А,7.3,88,0,88,44.818973,20.412197
SRBRGI2002652,Акредитационо тело Србије,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ВЛАЈКОВИЋЕВА,5,4.5,87,0,87,44.812605,20.464425
SRBRGI2017773,Приватна ветеринарска амбуланта „Вет центар“,објекат ветерине,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ПАНЧИЋЕВА,10,0.6,87,0,87,44.825502,20.463601
